,carbs,category,description,fat,fiber,kcal,monounsat.,polyunsat.,price,price_per_kg,protein,qty,salt,saturated,sugars,€/g carb,€/g fat,€/g protein,€/kcal
5531712,36.0,Surgelati e gelati,"Cornetto, Mini classico 8 pezzi 288 g",17.0,,320,,,4.99,17.33,3.8,288 g,0.1,12.0,23.0,0.048138888888888884,0.10194117647058823,0.4560526315789474,0.005415624999999999
5731795,27.0,Surgelati e gelati,"Viennetta, vaniglia 360 g",14.0,,241,,,3.29,6.92,2.5,360 g,0.11,12.0,21.0,0.025629629629629627,0.049428571428571426,0.2768,0.002871369294605809
5741601,6.2,Surgelati e gelati,"Asiago Food, misto frutti di bosco bio surgelato 300 g",0.2,2.6,36,,,3.49,11.64,1.0,300 g,0.0,0.0,6.2,0.187741935483871,5.82,1.1640000000000001,0.03233333333333334
5393466,1.0,Surgelati e gelati,"I&J, filetti di merluzzo sudafricano porzionati surgelati 400 g",1.2,,78,,0.5,4.79,11.98,17.7,400 g,0.2,0.4,0.3,1.198,0.9983333333333333,0.06768361581920904,0.015358974358974358
5758903,38.0,Surgelati e gelati,"Sammontana, Cinque Stelle panna cono 6 pezzi 450 g",17.0,,326,,,3.97,8.83,4.6,450 g,0.31,13.0,28.0,0.023236842105263156,0.051941176470588234,0.19195652173913044,0.0027085889570552146
5755080,1.7,Surgelati e gelati,"Come una volta, i Ricettati cimette di rapa alla pugliese surgelate 300 g",4.2,1.1,57,,,3.49,11.64,2.5,300 g,0.45,0.6,0.3,0.6847058823529413,0.2771428571428572,0.46560000000000007,0.02042105263157895
5726042,21.0,Surgelati e gelati,"Cuoco di Bordo, filetti di platessa impanati surgelati 600 g",9.2,1.1,213,,,6.79,11.32,11.0,600 g,0.96,1.2,1.3,0.053904761904761914,0.12304347826086959,0.10290909090909092,0.0053145539906103295
5726081,19.0,Surgelati e gelati,"Sadia, Speedy Pollo The Original surgelati 450 g",16.0,,268,,,3.79,8.43,11.0,450 g,1.9,4.9,0.8,0.04436842105263158,0.0526875,0.07663636363636363,0.0031455223880597015
5522908,,Surgelati e gelati,"Magnum, Mini Double caramel chocolate 6 pezzi 300 g",,,,,,4.43,14.77,,300 g,,,,0.0,0.0,0.0,0.0
5419330,1.0,Surgelati e gelati,"Cucina Sartor, porcini cubi congelati 300 g",0.7,2.5,31,,,3.98,13.27,3.9,300 g,0.1,0.2,1.0,1.327,1.8957142857142857,0.34025641025641024,0.042806451612903224
5638761,43.1,Surgelati e gelati,"Milka, Mini coni vanille 8 pezzi 140 g",24.9,1.4,415,,,3.19,22.79,4.0,140 g,0.25,18.7,31.8,0.05287703016241299,0.09152610441767069,0.56975,0.005491566265060241
5382430,,Surgelati e gelati,"Fandicosta, anelli di totano surgelati peso netto 1 kg peso netto scongelato 900 g",,,,,,8.79,9.77,,900 g,,,,0.0,0.0,0.0,0.0
5403807,27.0,Surgelati e gelati,"Sammontana, Barattolino cioccolato 500 g",11.0,,226,,,2.89,5.78,3.6,500 g,0.22,9.5,24.0,0.02140740740740741,0.052545454545454555,0.16055555555555556,0.002557522123893806
5746974,25.0,Surgelati e gelati,"Findus, 4 Salti in padella Penne tricolore surgelate 550 g",5.3,1.2,173,,,3.09,4.5,5.7,550 g,0.78,1.3,2.4,0.018000000000000002,0.0849056603773585,0.07894736842105263,0.002601156069364162
5742562,24.0,Surgelati e gelati,"Cameo, Ristorante pizza al Prosciutto surgelata 330 g",9.9,,229,,,3.19,9.67,10.0,330 g,1.3,2.9,2.8,0.04029166666666666,0.09767676767676767,0.0967,0.004222707423580786
5746973,24.0,Surgelati e gelati,"Findus, 4 Salti in padella Pappardelle al ragÃ¹ di cinghiale surgelate 550 g",4.5,2.6,166,,,4.99,9.08,6.0,550 g,0.99,0.7,1.9,0.03783333333333334,0.20177777777777778,0.15133333333333335,0.0054698795180722895
5531256,31.0,Surgelati e gelati,"Pizza Italia, calzone pomodoro e mozzarella surgelato 250 g",5.5,,212,,,2.39,9.56,9.6,250 g,1.4,2.8,1.6,0.030838709677419356,0.17381818181818184,0.09958333333333334,0.004509433962264151
5414021,25.0,Surgelati e gelati,"Valsoia, BontÃ  e Salute il Gelato Bianco cacao 300 g",7.7,0.9,182,1.0,0.8,2.54,8.47,2.8,300 g,0.13,5.9,25.0,0.03388,0.11000000000000001,0.30250000000000005,0.004653846153846154
5742561,26.0,Surgelati e gelati,"Cameo, Ristorante pizza al Salame surgelata 320 g",14.0,,273,,,3.19,9.97,10.0,320 g,1.4,4.8,3.1,0.03834615384615385,0.07121428571428572,0.09970000000000001,0.003652014652014652
5747116,32.0,Surgelati e gelati,"Italpizza, Trancio Verace Margherita surgelata 350 g",9.2,1.8,258,,,2.99,6.83,11.0,350 g,1.5,3.6,2.7,0.02134375,0.07423913043478263,0.06209090909090909,0.0026472868217054264
5726040,11.4,Surgelati e gelati,"Pescanova, Surimi bastoncini al sapore di granchio senza glutine surgelati 250 g",2.1,,101,,,2.99,11.96,8.3,250 g,1.53,0.3,1.0,0.1049122807017544,0.5695238095238095,0.1440963855421687,0.011841584158415843
5588747,4.9,Surgelati e gelati,"Come una volta, giardiniera di verdure surgelate 450 g",0.2,2.7,36,,,2.59,5.76,2.2,450 g,0.08,0.0,4.6,0.11755102040816325,2.8799999999999994,0.2618181818181818,0.016
